sim_indexes,-C(=O)O ,-C(=O)OC(=O)-,-C=O, -CF2, -CF3, -CN, -F, -NH2,-O-,-O-C(=C)-O-,-O-C=C-,-OC(=O)O-,-OC(=O)S-,-OS(=O)O-,-S(=O)(=O)-,-S(=O)-,-S(=O)O- ,-S-,C=C,N,NH,D[cat] m2/s,,Cla_0.0172
i0183,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.99E-11,,1
i0184,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.55E-11,,1
i0185,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.30E-11,,1
i0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.08E-11,,1
i0187,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.40E-11,,1
i0188,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.51E-11,,1
i0189,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.65E-11,,1
i0190,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.59E-11,,0
i0191,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.49E-11,,0
i0193,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.48E-11,,1
i0194,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.55E-11,,1
i0195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.80E-11,,1
i0196,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.17E-11,,1
i0197,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.16E-11,,0
i0198,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18E-11,,1
i0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.09E-11,,0
i0200,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.78E-11,,1
i0201,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.09E-11,,1
i0202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91E-11,,1
i0203,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.59E-11,,1
i0204,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33E-11,,1
i0205,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.02E-11,,1
i0206,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52E-11,,0
i0207,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.00E-11,,1
i0208,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.25E-11,,1
i0210,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.62E-11,,1
i0211,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.55E-11,,1
i0212,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.79E-11,,1
i0213,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68E-11,,1
i0214,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.30E-11,,1
i0215,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.91E-11,,1
i0216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.91E-11,,1
i0217,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.06E-11,,1
i0218,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.96E-11,,1
i0219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.11E-11,,1
i0220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E-11,,1
,,,,,,,,,,,,,,,,,,,,,,2.76E-11,,
